Column name	meta.xml	db column name	percentNULL	Comments	Priority	IBP tablename	Comment									
familyKey	http://rs.gbif.org/terms/1.0/familyKey	familykey	0.0329667		X			6177	5285	5259	2877	5277	9343	9333	9340	9284
genus	http://rs.tdwg.org/dwc/terms/genus	genus	0.0393333		X			Chloropsis	Turdoides	Leptocoma	Ictinaetus	Pycnonotus	Psilopogon	Micropternus	Psittacula	Pericrocotus
genusKey	http://rs.gbif.org/terms/1.0/genusKey	genuskey	0.0393333		X			2488919	2493296	3241500	3242861	2486114	2478743	4849441	2479192	2486811
specificEpithet	http://rs.tdwg.org/dwc/terms/specificEpithet	specificepithet	0.1036		X			aurifrons	striata	minima	malayensis	jocosus		brachyurus	krameri	flammeus
speciesKey	http://rs.gbif.org/terms/1.0/speciesKey	specieskey	0.103933		X			5230726	7340537	6088706	5229198	2486151		5844053	2479226	2486819
species	http://rs.gbif.org/terms/1.0/species	species	0.103933		X			Chloropsis aurifrons	Turdoides striata	Leptocoma minima	Ictinaetus malayensis	Pycnonotus jocosus		Micropternus brachyurus	Psittacula krameri	Pericrocotus flammeus
lastParsed	http://rs.gbif.org/terms/1.0/lastParsed	lastparsed	0.1124	 	P1			2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z
identifier	http://purl.org/dc/terms/identifier	identifier	0.17		P1		 This does not seem to be standard. OccurrenceID should be better. There are some that have Identifier, but do not have OccurrenceID. We will not be able to trace a record if we did not have this. It can be a key-value	URN:catalog:CLO:EBIRD:OBS281420272	URN:catalog:CLO:EBIRD:OBS281420271	URN:catalog:CLO:EBIRD:OBS281420276	URN:catalog:CLO:EBIRD:OBS281420274	URN:catalog:CLO:EBIRD:OBS281420273	URN:catalog:CLO:EBIRD:OBS281420275	URN:catalog:CLO:EBIRD:OBS281423864	URN:catalog:CLO:EBIRD:OBS281423917	URN:catalog:CLO:EBIRD:OBS281423840
recordedBy	http://rs.tdwg.org/dwc/terms/recordedBy	recordedby	0.181267	Required	P0	original user name		obsr452383	obsr452383	obsr452383	obsr452383	obsr452383	obsr452383	obsr538498	obsr538498	obsr538498
locality	http://rs.tdwg.org/dwc/terms/locality	locality	0.183733		P0	location title	We should keep the placeName as the user has provided. And derive the locality as a taluka from the map for all IBP observations	Kakkadampoyil	Kakkadampoyil	Kakkadampoyil	Kakkadampoyil	Kakkadampoyil	Kakkadampoyil	Tamdi Surla	Tamdi Surla	Tamdi Surla
occurrenceID	http://rs.tdwg.org/dwc/terms/occurrenceID	occurrenceid	0.190733		P1			URN:catalog:CLO:EBIRD:OBS281420272	URN:catalog:CLO:EBIRD:OBS281420271	URN:catalog:CLO:EBIRD:OBS281420276	URN:catalog:CLO:EBIRD:OBS281420274	URN:catalog:CLO:EBIRD:OBS281420273	URN:catalog:CLO:EBIRD:OBS281420275	URN:catalog:CLO:EBIRD:OBS281423864	URN:catalog:CLO:EBIRD:OBS281423917	URN:catalog:CLO:EBIRD:OBS281423840
issue	http://rs.gbif.org/terms/1.0/issue	issue	0.201367	 	P1			GEODETIC_DATUM_ASSUMED_WGS84	GEODETIC_DATUM_ASSUMED_WGS84	GEODETIC_DATUM_ASSUMED_WGS84	GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY	GEODETIC_DATUM_ASSUMED_WGS84	GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK	GEODETIC_DATUM_ASSUMED_WGS84	GEODETIC_DATUM_ASSUMED_WGS84	GEODETIC_DATUM_ASSUMED_WGS84
year	http://rs.tdwg.org/dwc/terms/year	year	0.243467	 	X			2014	2014	2014	2014	2014	2014	2014	2014	2014
decimalLatitude	http://rs.tdwg.org/dwc/terms/decimalLatitude	decimallatitude	0.2479	Required	P0	latitude	Important	11.3382	11.3382	11.3382	11.3382	11.3382	11.3382	15.4354	15.4354	15.4354
decimalLongitude	http://rs.tdwg.org/dwc/terms/decimalLongitude	decimallongitude	0.2479	Required	P0	longitude	Important	76.1112	76.1112	76.1112	76.1112	76.1112	76.1112	74.2381	74.2381	74.2381
month	http://rs.tdwg.org/dwc/terms/month	month	0.255267	 	X			11	11	11	11	11	11	5	5	5
day	http://rs.tdwg.org/dwc/terms/day	day	0.2639	 	X			16	16	16	16	16	16	8	8	8
eventDate	http://rs.tdwg.org/dwc/terms/eventDate	eventdate	0.263933	Required	P0	observed on	Important	2014-11-16T00:00Z	2014-11-16T00:00Z	2014-11-16T00:00Z	2014-11-16T00:00Z	2014-11-16T00:00Z	2014-11-16T00:00Z	2014-05-08T00:00Z	2014-05-08T00:00Z	2014-05-08T00:00Z
county	http://rs.tdwg.org/dwc/terms/county	county	0.4014	Required	P1	location title		Malappuram	Malappuram	Malappuram	Malappuram	Malappuram	Malappuram	South Goa	South Goa	South Goa
stateProvince	http://rs.tdwg.org/dwc/terms/stateProvince	stateprovince	0.302167	Required	P0	location title		Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Goa	Goa	Goa
rights	http://purl.org/dc/terms/rights	rights	0.386833	Required	P0	license		http://creativecommons.org/publicdomain/zero/1.0	http://creativecommons.org/publicdomain/zero/1.0	http://creativecommons.org/publicdomain/zero/1.0	http://creativecommons.org/publicdomain/zero/1.0	http://creativecommons.org/publicdomain/zero/1.0	http://creativecommons.org/publicdomain/zero/1.0	http://creativecommons.org/publicdomain/zero/1.0	http://creativecommons.org/publicdomain/zero/1.0	http://creativecommons.org/publicdomain/zero/1.0
accessRights	http://purl.org/dc/terms/accessRights	accessrights	0.388933	Required	P1	accessRights		http://vertnet.org/resources/norms.html	http://vertnet.org/resources/norms.html	http://vertnet.org/resources/norms.html	http://vertnet.org/resources/norms.html	http://vertnet.org/resources/norms.html	http://vertnet.org/resources/norms.html	http://vertnet.org/resources/norms.html	http://vertnet.org/resources/norms.html	http://vertnet.org/resources/norms.html
vernacularName	http://rs.tdwg.org/dwc/terms/vernacularName	vernacularname	0.431467	Required	P0	common name		Golden-fronted Leafbird	Jungle Babbler	Crimson-backed Sunbird	Black Eagle	Red-whiskered Bulbul	White-cheeked Barbet	Rufous Woodpecker	Rose-ringed Parakeet	Orange Minivet
continent	http://rs.tdwg.org/dwc/terms/continent	continent	0.793467		X											
higherClassification	http://rs.tdwg.org/dwc/terms/higherClassification	higherclassification	0.814933		X											
higherGeography	http://rs.tdwg.org/dwc/terms/higherGeography	highergeography	0.855267		X											
nomenclaturalCode	http://rs.tdwg.org/dwc/terms/nomenclaturalCode	nomenclaturalcode	0.8672		X											
type	http://purl.org/dc/terms/type	type	0.8958		X											
preparations	http://rs.tdwg.org/dwc/terms/preparations	preparations	0.8989		X											
modified	http://purl.org/dc/terms/modified	modified	0.9099		X											
language	http://purl.org/dc/terms/language	language	0.917167		X											
elevation	http://rs.gbif.org/terms/1.0/elevation	elevation	0.927133		X											
institutionID	http://rs.tdwg.org/dwc/terms/institutionID	institutionid	0.9341		X											
startDayOfYear	http://rs.tdwg.org/dwc/terms/startDayOfYear	startdayofyear	0.935933		X											
collectionID	http://rs.tdwg.org/dwc/terms/collectionID	collectionid	0.9369		X	collectionId										
identifiedBy	http://rs.tdwg.org/dwc/terms/identifiedBy	identifiedby	0.9393		X	identifiedBy										
verbatimLocality	http://rs.tdwg.org/dwc/terms/verbatimLocality	verbatimlocality	0.942367		X											
verbatimEventDate	http://rs.tdwg.org/dwc/terms/verbatimEventDate	verbatimeventdate	0.942533		X											
recordNumber	http://rs.tdwg.org/dwc/terms/recordNumber	recordnumber	0.9443		X											
verbatimTaxonRank	http://rs.tdwg.org/dwc/terms/verbatimTaxonRank	verbatimtaxonrank	0.947567		X											
otherCatalogNumbers	http://rs.tdwg.org/dwc/terms/otherCatalogNumbers	othercatalognumbers	0.9522		X											
sex	http://rs.tdwg.org/dwc/terms/sex	sex	0.9539		X											
mediaType	http://rs.gbif.org/terms/1.0/mediaType	mediatype	0.958567		X											
dynamicProperties	http://rs.tdwg.org/dwc/terms/dynamicProperties	dynamicproperties	0.959867		X											
infraspecificEpithet	http://rs.tdwg.org/dwc/terms/infraspecificEpithet	infraspecificepithet	0.960567		X											
ownerInstitutionCode	http://rs.tdwg.org/dwc/terms/ownerInstitutionCode	ownerinstitutioncode	0.9617		X											
endDayOfYear	http://rs.tdwg.org/dwc/terms/endDayOfYear	enddayofyear	0.961733		X											
references	http://purl.org/dc/terms/references	references1	0.961933		X											
occurrenceStatus	http://rs.tdwg.org/dwc/terms/occurrenceStatus	occurrencestatus	0.9653		X											
